Fecha (UTC),Latitud,Longitud,Profundidad [km],Magnitud [*],Tipo magnitud,Estaciones,Identificador
1985-03-03 22:47:07,-33.135,-71.871,33.0,8.0,Mw,Cauquenes; ChillanInstitute; Colbun; Constitucion; Hualane; Illapel; Iloca; LaLigua; Llayllay; Llolleo; LosVilos; Melipilla; Papudo; Pichilemu; Quintay; Rapel; SanFelipe; SanFernando; SanIsidro; SantiagoEndesaBldg; Talca; ValparaisoElAlmendral; Valparaiso; Ventanas; VinadelMar; Zapallar,151
1985-03-03 23:38:31,-32.738,-71.215,33.0,6.3,-,Llolleo; Valparaiso; VinadelMar,152
1985-04-08 23:27:25,-33.025,-71.974,33.0,5.0,-,Llolleo,153
1985-04-09 01:56:59,-34.131,-71.618,37.8,7.2,Ms,Cauquenes; Constitucion; Iloca; Quintay; Rapel; SanFernando; SantiagoEndesaBldg; Santiago; Ventanas,154
