Fecha (UTC),Latitud,Longitud,Profundidad [km],Magnitud [*],Tipo magnitud,Estaciones,Identificador,Fuente,Profundidad,Magnitud,ID
2023-10-08 07:28:55,-21.24,-69.7,68.0,5.1,,PB02; TA02; PB01; GO01; T24A; PB03,5eb28c86afa1dcf894db750b9204acc9,ZW5TFERBT8B0GMQ,,,20231008_5.1M_21.24S_69.70W_68.0KM
2023-10-10 10:01:31,-22.86,-66.39,245.0,6.4,,PB15,5eb28c86afa1dcf894db750b9204b173,ZW5TFERBT8B0GMQ,,,20231010_6.4M_22.86S_66.39W_245.0KM
2023-10-16 18:33:20,-24.62,-67.23,186.0,5.3,,PB10,5eb28c86afa1dcf894db750b9204b3fe,ZW5TFERBT8B0GMQ,,,20231016_5.3M_24.62S_67.23W_186.0KM
2023-10-26 21:49:34,-28.68,-70.34,90.0,5.6,,GO03; C16O; C17O; AC05; AC04,5eb28c86afa1dcf894db750b9204b4b9,ZW5TFERBT8B0GMQ,,,20231026_5.6M_28.68S_70.34W_90.0KM
2023-10-31 12:33:43,-28.76,-71.51,45.0,6.5,,CO05; A02C; A13C; GO03; CO03; C16O; C17O; CO01; C26O; AC05; CO02; AC04,5eb28c86afa1dcf894db750b9204b773,ZW5TFERBT8B0GMQ,,,20231031_6.5M_28.76S_71.51W_45.0KM
