CodeSta,Latitude,Longitude,Altitude,StaName,SensorType,Network,Geology,MeasuredVs30,Vs30_fCSN,f0_HVSR,A0_HVSR,f0_fCSN,TypeCurveHVSR,InfVs30_HVSR,TopographicSlope,InfVs30_TopoSlope,InfVs30_Vp,InferedVs30,PreferedVs30,uncertainty_Vs30,IDPreferedVs30,Kappa0,Channels,OrientationCH1,OrientationCH2,OrientationCH3
R26M,-33.5106,-70.6008,575,"PLANTA ASFALTO SERVIU","Episensor FBA - Basalt Serial 1165",CSN,Q1,-999,-999,2.36666666666667,1.96894926670996,,flat,289,0.0420080744825631,402,612,483.01545923007,435,0.387667502106948,2,-999,"",-999,-999,-999
RANC01S,-33.9419444444444,-71.7369444444444,-999,"RAPEL","RFT-250",DGG,,-999,-999,0.13,8.23800144727155,,flat,150,0,100,-999,118.876932403759,130,0.531822001697684,3,-999,"",-999,-999,-999
RANC02S,-34.5863888888889,-70.9830555555556,-999,"SAN FERNANDO","SMA-1",DGG,,666,-999,0.11,31.521132872616,,flat,150,0.0486780214713162,418,-999,316.819642315853,666,-999,1,-999,"",-999,-999,-999
RANC03S,-34.3904,-72.0033,-999,"PICHILEMU","SMA-1",DGG,,-999,-999,7.8,3.07165062850415,,peak,708,0.0524674578675629,427,-999,587.557549660548,595,0.311010350044602,3,-999,"",-999,-999,-999
RCDM,-33.4892,-70.8064,487,"CSN","Episensor, DC to >200 Hz,  5V differential full sc",C-IRISDMC,Q1,-999,-999,-999,0,,,-999,0.117339070105529,571,-999,571,571,0.557379023284951,8,-999,"",-999,-999,-999
ROC1,-32.9756,-71.0156,2191,"CERRO EL ROBLE, SHOA","Episensor 200 Hz 2.5 Volt per g/Quanterra 330 Line",C-IRISDMC,Kiag,1951,-999,9.93333333333333,3.16182940067894,,flat,749,0.328371863728829,959,1119,1002.6980903304,1951,-999,1,0.047,"",90,0,0
SERE01R,-29.908,-71.2454,-999,"LA SERENA S/N 5016","SMA-1",REN,,552,-999,3.71,3.27788231388363,,peak,496,0.0247196189100345,362,-999,438.564810158411,552,-999,1,-999,"",-999,-999,-999
SERE02R,-31.6358,-71.1694,-999,"ILLAPEL S/N 4565","SMA-1",REN,,-999,-999,4.38,3.46243179723706,,peak,558,0.0376053116041118,392,-999,486.848943927584,491,0.311010350044602,3,-999,"",-999,-999,-999
SERE02S,-31.9166666666667,-71.5105555555556,-999,"LOS VILOS","SMA-1",DGG,,-999,-999,3.9,1.83763115426634,,flat,516,0.0570954248838385,437,-999,466.825553197939,484,0.531822001697684,3,-999,"",-999,-999,-999
SERE03R,-31.1982,-71.6106,-999,"PUENTE AMOLANAS S/N 1784","K2",REN,,-999,-999,4.82,2.41162522532053,,peak,589,0.598783885975647,1379,-999,927.610447573548,908,0.311010350044602,3,-999,"",-999,-999,-999
SJCH,-33.640671,-70.353798,997,"MUNI. SAN JOSÉ DE MAIPO","EpiSensor + Altus Everest",C-IRISDMC,,556,-999,1.41,1.76012969776912,,peak,150,0.0252946078155855,364,-999,283.206729311913,556,-999,1,-999,"HNE, HNN, HNZ",90,0,0
STGO01R,-33.4666,-70.6521,-999,"SANTIAGO CENTRO S/N 935","SSA-2",REN,,-999,-999,2.42,1.58668820928404,,peak,294,0.0580906614920041,440,-999,356.578639678149,353,0.311010350044602,3,-999,"",-999,-999,-999
STGO01S,-33.686676,-71.213973,-999,"MELIPILLA","SMA-1",DGG,,481,-999,0.11,19.4588797725958,,flat,150,0.0759074188834272,481,-999,356.034707487117,481,-999,1,-999,"",-999,-999,-999
STGO02R,-33.5087,-70.7714,-999,"MAIPU S/N 663","QDR",REN,,386,-999,2.09,3.79808324807192,,peak,261,0.0252722116123365,363,-999,304.719323610762,386,-999,1,-999,"",-999,-999,-999
STGO02S,-33.4341666666667,-70.6511111111111,-999,"SANTIAGO (DGG Bldg.)","SMA-1",DGG,,294,-999,1.3,2.34018407850679,,peak,150,0.0252596467115665,363,-999,282.584267959988,294,-999,1,-999,"",-999,-999,-999
STGO03R,-33.5014,-70.5792,-999,"PEÑALOLEN S/N 670","QDR",REN,,379,-999,2.02,2.43918462414585,,peak,253,0.0505419807657882,422,-999,325.436918531556,379,-999,1,-999,"",-999,-999,-999
STGO03S,-33.4441666666667,-70.645,-999,"ENDESA BUILDING (BSMT)","PK-130",DGG,,-999,-999,1.44,2.01238553341619,,peak,153,0.0677410812343639,462,-999,345.340557744771,278,0.531822001697684,3,-999,"",-999,-999,-999
STGO04R,-33.5139,-70.6053,-999,"SANTIAGO LA FLORIDA S/N 958","K2",REN,,598,-999,0.35,2.27128933522386,,flat,150,0.0387481332686772,395,-999,302.503031221582,598,-999,1,-999,"",-999,-999,-999
STGO05R,-33.578,-70.581,-999,"PUENTE ALTO S/N 671","QDR",REN,,496,-999,1.9,1.8213540259588,,flat,237,0.0252839789011384,363,-999,315.430130342528,496,-999,1,-999,"",-999,-999,-999
